,BAA1_1_2,BAA2_1_2,Transacting BAAs_1_2,Exchange_1_2,BAA2_2_1,BAA1_2_1,Transacting BAAs_2_1,Exchange_2_1,Exchange_1_2_abs,Exchange_2_1_abs,Status_Check,Delta,Percent_Diff_Avg,Exchange_mean,Final_Exchange,Export_BAA,Import_BAA
2239,LDWP,WALC,LDWP-WALC,-55514.0,LDWP,WALC,WALC-LDWP,8982695.0,55514.0,8982695.0,keep,-8927181.0,80.90168171668786,4519104.5,8982695.0,WALC,LDWP
2257,LGEE,EEI,LGEE-EEI,-1421839.0,LGEE,EEI,EEI-LGEE,1421837.0,1421839.0,1421837.0,keep,2.0,1.4066300099147e-06,1421838.0,1421838.0,EEI,LGEE
2278,LGEE,MISO,LGEE-MISO,299933.0,LGEE,MISO,MISO-LGEE,-323569.0,299933.0,323569.0,keep,-23636.0,0.07592602758289446,311751.0,311751.0,LGEE,MISO
2283,LGEE,OVEC,LGEE-OVEC,1640523.0,LGEE,OVEC,OVEC-LGEE,-571445.0,1640523.0,571445.0,keep,1069078.0,1.2612508619954574,1105984.0,1640523.0,LGEE,OVEC
2287,LGEE,PJM,LGEE-PJM,2838363.0,LGEE,PJM,PJM-LGEE,-2789158.0,2838363.0,2789158.0,keep,49205.0,0.017488610728664367,2813760.5,2813760.5,LGEE,PJM
2305,LGEE,TVA,LGEE-TVA,-1598830.0,LGEE,TVA,TVA-LGEE,1953606.0,1598830.0,1953606.0,keep,-354776.0,0.20174892561644536,1776218.0,1953606.0,TVA,LGEE
2312,MISO,AEC,MISO-AEC,-525480.0,MISO,AEC,AEC-MISO,525715.0,525480.0,525715.0,keep,-235.0,0.00044711021598187184,525597.5,525597.5,AEC,MISO
2313,MISO,AECI,MISO-AECI,-2758147.0,MISO,AECI,AECI-MISO,2769083.0,2758147.0,2769083.0,keep,-10936.0,0.003957151344042564,2763615.0,2763615.0,AECI,MISO
2325,MISO,EEI,MISO-EEI,-2102957.0,MISO,EEI,EEI-MISO,2130762.0,2102957.0,2130762.0,keep,-27805.0,0.013135590407822528,2116859.5,2116859.5,EEI,MISO
2345,MISO,LGEE,MISO-LGEE,-323569.0,MISO,LGEE,LGEE-MISO,299933.0,323569.0,299933.0,keep,23636.0,0.07592602758289446,311751.0,311751.0,LGEE,MISO
2355,MISO,PJM,MISO-PJM,-18243796.0,MISO,PJM,PJM-MISO,21759414.0,18243796.0,21759414.0,keep,-3515618.0,0.17713489457281462,20001605.0,20001605.0,PJM,MISO
2364,MISO,SOCO,MISO-SOCO,-2631582.0,MISO,SOCO,SOCO-MISO,885096.0,2631582.0,885096.0,keep,1746486.0,1.318440187402273,1758339.0,885096.0,SOCO,MISO
2365,MISO,SPA,MISO-SPA,-2277758.0,MISO,SPA,SPA-MISO,2283341.0,2277758.0,2283341.0,keep,-5583.0,0.0024480978663137254,2280549.5,2280549.5,SPA,MISO
2367,MISO,SWPP,MISO-SWPP,-3738027.0,MISO,SWPP,SWPP-MISO,3790228.0,3738027.0,3790228.0,keep,-52201.0,0.013868688021598796,3764127.5,3764127.5,SWPP,MISO
2373,MISO,TVA,MISO-TVA,10218886.0,MISO,TVA,TVA-MISO,-11220607.0,10218886.0,11220607.0,keep,-1001721.0,0.09365077762722385,10719746.5,10719746.5,MISO,TVA
2385,NEVP,BPAT,NEVP-BPAT,-797690.0,NEVP,BPAT,BPAT-NEVP,798254.0,797690.0,798254.0,keep,-564.0,0.0007067918052728328,797972.0,797972.0,BPAT,NEVP
2387,NEVP,CISO,NEVP-CISO,-731637.0,NEVP,CISO,CISO-NEVP,731798.0,731637.0,731798.0,keep,-161.0,0.00022003027390843366,731717.5,731717.5,CISO,NEVP
2409,NEVP,IPCO,NEVP-IPCO,-937306.0,NEVP,IPCO,IPCO-NEVP,933171.0,937306.0,933171.0,keep,4135.0,0.0044213537060624475,935238.5,935238.5,IPCO,NEVP
2412,NEVP,LDWP,NEVP-LDWP,-5159862.0,NEVP,LDWP,LDWP-NEVP,31600.0,5159862.0,31600.0,keep,5128262.0,81.64032397855219,2595731.0,31600.0,LDWP,NEVP
2420,NEVP,PACE,NEVP-PACE,-2083228.0,NEVP,PACE,PACE-NEVP,2079845.0,2083228.0,2079845.0,keep,3383.0,0.0016252428117280449,2081536.5,2081536.5,PACE,NEVP
2443,NEVP,WALC,NEVP-WALC,3672669.0,NEVP,WALC,WALC-NEVP,-3673811.0,3672669.0,3673811.0,keep,-1142.0,0.00031089719909277447,3673240.0,3673240.0,NEVP,WALC
2465,NSB,FPC,NSB-FPC,-176949.0,NSB,FPC,FPC-NSB,179560.0,176949.0,179560.0,keep,-2611.0,0.014648382264603188,178254.5,178254.5,FPC,NSB
2466,NSB,FPL,NSB-FPL,-249109.0,NSB,FPL,FPL-NSB,248655.0,249109.0,248655.0,keep,454.0,0.0018241591504301602,248882.0,248882.0,FPL,NSB
2518,NWMT,AVA,NWMT-AVA,557598.0,NWMT,AVA,AVA-NWMT,-556532.0,557598.0,556532.0,keep,1066.0,0.0019136024986108335,557065.0,557065.0,NWMT,AVA
2521,NWMT,BPAT,NWMT-BPAT,6783464.0,NWMT,BPAT,BPAT-NWMT,-6744331.0,6783464.0,6744331.0,keep,39133.0,0.005785618051673269,6763897.5,6763897.5,NWMT,BPAT
2541,NWMT,GWA,NWMT-GWA,-574748.0,NWMT,GWA,GWA-NWMT,570331.0,574748.0,570331.0,keep,4417.0,0.007714866350806482,572539.5,572539.5,GWA,NWMT
2545,NWMT,IPCO,NWMT-IPCO,100908.0,NWMT,IPCO,IPCO-NWMT,-100108.0,100908.0,100108.0,keep,800.0,0.00795969147865827,100508.0,100508.0,NWMT,IPCO
2556,NWMT,PACE,NWMT-PACE,1177992.0,NWMT,PACE,PACE-NWMT,-1181265.0,1177992.0,1181265.0,keep,-3273.0,0.0027746076830483246,1179628.5,1179628.5,NWMT,PACE
2581,NWMT,WAUW,NWMT-WAUW,1024194.0,NWMT,WAUW,WAUW-NWMT,-1009410.0,1024194.0,1009410.0,keep,14784.0,0.014540472369985014,1016802.0,1016802.0,NWMT,WAUW
2582,NWMT,WWA,NWMT-WWA,-654564.0,NWMT,WWA,WWA-NWMT,652062.0,654564.0,652062.0,keep,2502.0,0.0038297250690650375,653313.0,653313.0,WWA,NWMT
2614,NYIS,ISNE,NYIS-ISNE,3566859.0,NYIS,ISNE,ISNE-NYIS,-3606354.0,3566859.0,3606354.0,keep,-39495.0,0.011012135656655986,3586606.5,3586606.5,NYIS,ISNE
2627,NYIS,PJM,NYIS-PJM,-8376192.0,NYIS,PJM,PJM-NYIS,8620553.0,8376192.0,8620553.0,keep,-244361.0,0.028759802998315875,8498372.5,8498372.5,PJM,NYIS
